visibility,windBearing,temperature,date_time,dewPoint,pressure,apparentTemperature,windSpeed,humidity,id,energy
14.31,244,6.86,2013-10-29T23:00:00Z,4.61,1017.98,4.55,3.29,0.86,MAC000002,0.4570000000000001
14.31,238,6.1,2013-10-30T00:00:00Z,4.09,1018.38,3.86,2.95,0.87,MAC000002,0.41400000000000003
13.45,247,5.94,2013-10-30T01:00:00Z,4.17,1018.89,3.54,3.14,0.88,MAC000002,0.40800000000000003
13.23,249,5.54,2013-10-30T02:00:00Z,3.92,1019.25,3.13,3.02,0.89,MAC000002,0.35200000000000004
14.31,242,5.06,2013-10-30T03:00:00Z,3.28,1019.57,2.78,2.74,0.88,MAC000002,0.25
14.31,239,5.04,2013-10-30T04:00:00Z,3.24,1019.84,2.73,2.77,0.88,MAC000002,0.217
14.31,243,4.81,2013-10-30T05:00:00Z,3.29,1020.25,2.98,2.16,0.9,MAC000002,0.21100000000000002
13.68,246,4.47,2013-10-30T06:00:00Z,3.26,1020.58,2.27,2.51,0.92,MAC000002,0.20800000000000002
14.36,238,4.48,2013-10-30T07:00:00Z,3.21,1020.98,2.81,1.95,0.91,MAC000002,0.20800000000000002
14.52,244,5.37,2013-10-30T08:00:00Z,3.59,1021.79,3.41,2.42,0.88,MAC000002,0.257
15.55,237,7.38,2013-10-30T09:00:00Z,4.26,1022.08,5.6,2.66,0.81,MAC000002,0.5790000000000001
14.13,228,9.97,2013-10-30T10:00:00Z,4.69,1021.99,8.58,2.83,0.7,MAC000002,0.625
14.34,230,12.45,2013-10-30T11:00:00Z,6.29,1021.82,12.45,4.01,0.66,MAC000002,0.768
12.42,226,13.53,2013-10-30T12:00:00Z,6.67,1021.43,13.53,4.35,0.63,MAC000002,0.7779999999999999
12.04,218,13.23,2013-10-30T13:00:00Z,6.79,1020.88,13.23,4.97,0.65,MAC000002,0.20500000000000002
11.8,212,13.27,2013-10-30T14:00:00Z,7.43,1020.36,13.27,5,0.68,MAC000002,0.21100000000000002
12.13,207,13.57,2013-10-30T15:00:00Z,8.4,1019.95,13.57,5.08,0.71,MAC000002,0.21600000000000003
12.83,201,13.01,2013-10-30T16:00:00Z,8.34,1019.45,13.01,4.56,0.73,MAC000002,0.546
13.05,200,12.31,2013-10-30T17:00:00Z,8.96,1019.48,12.31,4.05,0.8,MAC000002,0.7789999999999999
13.58,199,11.92,2013-10-30T18:00:00Z,8.63,1019.56,11.92,4.2,0.8,MAC000002,0.31900000000000006
12.23,201,12.03,2013-10-30T19:00:00Z,8.81,1019.67,12.03,4.6,0.81,MAC000002,1.127
12.23,204,12.53,2013-10-30T20:00:00Z,9.21,1019.39,12.53,5.02,0.8,MAC000002,0.395
